,Candidato,Serviços prestados por terceiros,Despesa com Impulsionamento de Conteúdos,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",Eventos de promoção da candidatura,Publicidade por materiais impressos,Doações financeiras a outros candidatos/partidos,Combustíveis e lubrificantes,Criação e inclusão de páginas na internet,Taxa de Administração de Financiamento Coletivo,Despesas com Hospedagem,Despesas com transporte ou deslocamento,Despesas com pessoal,"Produção de programas de rádio, televisão ou vídeo",Publicidade por jornais e revistas,Publicidade por adesivos,"Produção de jingles, vinhetas e slogans",Atividades de militância e mobilização de rua,Serviços próprios prestados por terceiros,Locação/cessão de bens móveis (exceto veículos),Diversas a especificar,Locação/cessão de bens imóveis,Publicidade por carros de som,"Impostos, contribuições e taxas",Cessão ou locação de veículos,Materiais de expediente,Alimentação,Correspondências e despesas postais,Água,Energia elétrica,Comícios,Aquisição/Doação de bens móveis ou imóveis,Pré-instalação física de comitê de campanha,Pesquisas ou testes eleitorais,Multas eleitorais,Passagem Aérea,Telefone,Encargos sociais,Reembolsos de gastos realizados por eleitores,Gasto_Candidato,Votos recebidos
0,JOÃO AGRIPINO DA COSTA DORIA JUNIOR,11473887.0,750000.0,2007.64,196648.0,718530.0,270000.0,26659.76,0.0,0.0,9618.5,1175060.99,618700.0,5600000.0,0.0,163270.1,0.0,0.0,0.0,5400.0,0.0,92311.11,0.0,0.0,83882.75,1126.01,8508.11,62.8,0.0,720.46,0.0,0.0,0.0,931000.0,0.0,0.0,7800.0,0.0,0.0,22135193.230000004,5674846.0
1,MARCIO LUIZ FRANÇA GOMES,5290500.0,955000.0,1107.44,373438.54,2166296.0,205500.0,3770.01,0.0,0.0,0.0,181175.6,343100.0,1211000.0,259316.82,201868.0,0.0,314800.0,0.0,115121.6,0.0,3000.0,4400.0,2166.56,4461.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114492.0,5000.0,0.0,0.0,0.0,0.0,11755514.33,3808858.0
2,PAULO ANTONIO SKAF,3919807.77,100000.0,3748.76,50581.0,888768.0,0.0,17121.23,400739.98,18948.43,8939.75,271664.7,0.0,3975602.5,0.0,145600.0,0.0,0.0,0.0,40355.6,3746.28,40537.0,0.0,0.0,88004.34,2546.9,209900.0,664.85,890.79,731.1199999999999,0.0,0.0,0.0,398000.0,20000.0,1979.64,0.0,0.0,0.0,10608878.64,3736562.0
3,LUIZ MARINHO,644400.0,203900.0,2185.0,52990.99,1001751.54,110000.0,4802.13,51.55,0.0,0.0,19000.0,641001.88,2375000.0,8095.0,357565.25,0.0,0.0,0.0,85550.0,20000.0,5200.0,0.0,7182.54,104452.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271100.0,0.0,1230.83,0.0,0.0,0.0,5915459.53,2270080.0
4,MARA CRISTINA GABRILLI,866301.74,127000.0,3223.25,0.0,156150.1,0.0,12664.08,8000.0,0.0,0.0,75750.0,499922.5,3049956.35,95804.37,47177.0,0.0,0.0,0.0,13836.5,0.0,62500.0,0.0,0.0,22698.42,1420.26,0.0,16401.5,394.0,45.94,0.0,0.0,0.0,262600.0,0.0,0.0,927.61,0.0,0.0,5322773.620000001,5763035.0
5,MAURREN HIGA MAGGI,612387.75,200000.0,90.7,0.0,576019.8,400000.0,14476.29,0.0,0.0,25631.77,47232.48,197700.0,800000.0,0.0,220035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,0.0,3227.69,64000.0,0.0,0.0,0.0,0.0,0.0,572460.0,0.0,0.0,0.0,0.0,0.0,3753261.48,2615394.0
6,MARIO COVAS NETO,0.0,90000.0,682.0,0.0,416255.34,160500.0,16121.28,0.0,782.26,1094.74,0.0,0.0,1335000.0,187186.79,0.0,0.0,172640.0,20955.5,125025.39,28710.0,0.0,0.0,0.0,22500.0,2192.4,869.12,1109.3,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.6,0.0,0.0,2582072.72,0.0
7,BRUNA DIAS FURLAN,157425.02,13000.0,3321.35,34900.0,1125772.82,20000.0,60002.7,0.0,0.0,0.0,10000.0,30121.0,0.0,39700.0,233981.5,0.0,480051.81,3000.0,24583.0,4231.5,9000.0,0.0,0.0,139063.66,230.0,68428.5,0.0,6423.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2463236.42,111033.0
8,JOSE RICARDO ALVARENGA TRIPOLI,128600.0,275000.0,403.5,0.0,192030.0,7000.0,0.0,73.4,0.0,0.0,0.0,0.0,1518725.0,270.0,1530.0,0.0,13149.92,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,4763.75,0.0,222129.55,68.53999999999999,108.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369251.9,0.0
9,GABRIEL ROCHA KANNER,650599.33,16998.15,1791.2,83088.0,463617.16,0.0,12225.46,10379.0,0.0,25168.11,29391.18,256971.0,0.0,11600.0,105184.0,37000.0,507150.0,0.0,12460.75,450.0,19500.0,0.0,0.0,79106.87,3731.6,31070.75,0.0,1273.5,2530.53,0.0,0.0,0.0,0.0,0.0,1034.36,0.0,0.0,0.0,2362320.95,24075.0
10,ARNALDO CALIL PEREIRA JARDIM,23761.0,14500.0,8156.69,0.0,820841.88,0.0,1829.05,2400.0,0.0,0.0,0.0,1137153.47,45000.0,50634.97,130235.0,0.0,0.0,25500.0,2770.25,0.0,7463.34,0.0,330.63,8841.1,4516.0,92.59,0.0,0.0,0.0,0.0,0.0,12340.0,0.0,0.0,0.0,513.59,465.3,0.0,2297344.8599999994,117368.0
11,MARIA DO PARTO MENDES ROSAS,62403.18,0.0,1877.55,0.0,343565.0,0.0,39404.2,0.0,0.0,0.0,0.0,1355818.97,85000.0,0.0,18000.0,5000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,218661.0,5137.1900000000005,131947.65,0.0,142.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2276957.67,62848.0
12,RICARDO IZAR JUNIOR,121661.7,95000.0,844.65,0.0,568521.38,217720.0,6877.02,0.0,0.0,0.0,0.0,841300.0,0.0,15850.0,71699.0,0.0,255650.0,0.0,0.0,0.0,28250.370000000003,0.0,0.0,0.0,5582.97,0.0,44503.24,218.73,747.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2274426.2000000007,106264.0
13,VANDERLEI MACRIS,253875.5,2600.0,5132.2,6750.0,448500.1,170000.0,53185.73,0.0,307.32,0.0,1255.4,982078.22,0.0,50638.8,31305.11,0.0,1800.0,0.0,978.0,0.0,87010.0,0.0,0.0,88749.9,7480.0,8545.0,9139.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.44,0.0,0.0,2209583.7100000004,90189.0
