,Candidato,Publicidade por materiais impressos,Serviços prestados por terceiros,Despesa com Impulsionamento de Conteúdos,Publicidade por jornais e revistas,Diversas a especificar,Publicidade por adesivos,Correspondências e despesas postais,Locação/cessão de bens imóveis,Doações financeiras a outros candidatos/partidos,Criação e inclusão de páginas na internet,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",Taxa de Administração de Financiamento Coletivo,Despesas com pessoal,Serviços próprios prestados por terceiros,Atividades de militância e mobilização de rua,Alimentação,Cessão ou locação de veículos,Materiais de expediente,"Produção de programas de rádio, televisão ou vídeo",Combustíveis e lubrificantes,Eventos de promoção da candidatura,"Produção de jingles, vinhetas e slogans",Locação/cessão de bens móveis (exceto veículos),"Impostos, contribuições e taxas",Telefone,Publicidade por carros de som,Despesas com Hospedagem,Água,Energia elétrica,Pesquisas ou testes eleitorais,Despesas com transporte ou deslocamento,Passagem Aérea,Aquisição/Doação de bens móveis ou imóveis,Pré-instalação física de comitê de campanha,Reembolsos de gastos realizados por eleitores,Encargos sociais,Comícios,Multas eleitorais,Gasto_Candidato,Votos recebidos,NM_PARTIDO,DS_CARGO,NR_CANDIDATO,Recursos próprios,Recursos de pessoas físicas,Recursos de partido político,Recursos de Financiamento Coletivo,Recursos de outros candidatos,Rendimentos de aplicações financeiras,Doações pela Internet,Recursos de origens não identificadas,Comercialização de bens ou realização de eventos,TotalReceita_Candidato
0,MARCELO CANDIDO,230615.0,476470.0,0.0,0.0,0.0,10000.0,1136.8,1587.3,0.0,29.9,895.3,0.0,174180.0,0.0,0.0,15948.0,48400.0,0.0,890000.0,15800.22,8840.0,54090.0,0.0,0.0,0.0,23000.0,28869.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979862.4800000002,0.0,Partido Democrático Trabalhista,Governador,2889.0,20000.0,0.0,3981.84,0.0,0.0,0.0,0.0,0.0,0.0,23981.84
1,LUIZ MARINHO,1001751.54,644400.0,203900.0,8095.0,20000.0,357565.25,0.0,5200.0,110000.0,51.55,2185.0,0.0,641001.88,0.0,0.0,0.0,104452.82,0.0,2375000.0,4802.13,52990.99,0.0,85550.0,7182.54,0.0,0.0,0.0,0.0,0.0,271100.0,19000.0,1230.83,0.0,0.0,0.0,0.0,0.0,0.0,5915459.529999999,2270080.0,Partido dos Trabalhadores,Governador,3027.0,1300.0,22000.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,26200.0
2,PAULO ANTONIO SKAF,888768.0,3919807.77,100000.0,0.0,3746.2799999999997,145600.0,664.85,40537.0,0.0,400739.98,3748.7599999999998,18948.43,0.0,0.0,0.0,209900.0,88004.34,2546.9,3975602.5,17121.23,50581.0,0.0,40355.6,0.0,0.0,0.0,8939.75,890.79,731.1199999999999,398000.0,271664.7,1979.64,0.0,0.0,0.0,0.0,0.0,20000.0,10608878.639999997,3736562.0,Movimento Democrático Brasileiro,Governador,13066.0,0.0,4200.0,5000.0,0.0,15000.0,0.0,0.0,0.0,0.0,24200.0
3,ANTONIO DONIZETE FERREIRA,48550.0,3049.9,600.0,0.0,0.0,2255.0,0.0,300.0,0.0,0.0,74.4,21.2,0.0,4000.0,0.0,0.0,0.0,0.0,21360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80210.5,14366.0,Partido Socialista dos Trabalhadores Unificado,Governador,22432.0,0.0,0.0,33140.32,0.0,4018.0,0.0,0.0,0.0,0.0,37158.32
4,ADRIANO DA COSTA E SILVA,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.549999999999999,60.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6074.150000000001,662786.0,Democracia Cristã,Governador,33233.0,12721.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12721.24
5,RODRIGO TAVARES DA SILVA,21580.0,16660.0,5500.0,875.0,0.0,3600.0,0.0,0.0,1500.0,0.0,223.1,0.0,56029.009999999995,0.0,0.0,3204.0,6566.0,0.0,0.0,0.0,7941.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123678.70999999999,570734.0,Partido Renovador Trabalhista Brasileiro,Governador,35600.0,4190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4190.0
6,ROGERIO CHEQUER RAMALHO MACHADO,8869.2,500248.79,715000.0,0.0,2742.7,0.0,0.0,0.0,17000.0,0.0,288.4,2164.95,0.0,148400.0,0.0,5000.0,0.0,3980.0,23000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,425.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1437119.38,596206.0,Partido Novo,Governador,51789.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0
7,CLAUDIO FERNANDO DE AGUIAR,18000.0,2800.0,2000.0,0.0,700.0,200.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,3165.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27955.0,25449.0,Partido da Mobilização Nacional,Governador,40740.0,93105.0,0.0,0.0,0.0,12120.0,0.0,0.0,0.0,0.0,105225.0
8,ROBERTO CARLOS VALIM CAMPOS,800.0,0.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,0.0,Rede Sustentabilidade,Vice-governador,40740.0,93105.0,0.0,0.0,0.0,12120.0,0.0,0.0,0.0,0.0,105225.0
9,MARCIO LUIZ FRANÇA GOMES,2166296.0,5290500.0,955000.0,259316.82,0.0,201868.0,0.0,3000.0,205500.0,0.0,1107.44,0.0,343100.0,0.0,314800.0,0.0,4461.76,0.0,1211000.0,3770.01,373438.54,0.0,115121.6,2166.56,0.0,4400.0,0.0,0.0,0.0,114492.0,181175.6,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,11755514.329999998,3808858.0,Partido Socialista Brasileiro,Governador,4348.0,0.0,1000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0
