NM_VOTAVEL,DS_CARGO,NM_MUNICIPIO,Total_Votos
ABDAEL AMBRUSTER,DEPUTADO ESTADUAL,140,649
ABEL BARRETO,DEPUTADO ESTADUAL,242,2465
ABEL COSTA,DEPUTADO FEDERAL,78,360
ABEL DO PORTO SANTOS,DEPUTADO FEDERAL,365,3733
ABEL ELIAS DE CAMARGO,DEPUTADO ESTADUAL,69,268
ABIGAIL BENTO DA SILVA,DEPUTADO ESTADUAL,164,1224
ABRAAO GONÇALVES,DEPUTADO FEDERAL,64,825
ADAILTON CERQUEIRA SANTOS JUNIOR,DEPUTADO FEDERAL,345,5042
ADALBERTO GODOY FREITAS,DEPUTADO ESTADUAL,486,23065
ADALBERTO MARIANO DOS SANTOS,DEPUTADO FEDERAL,91,1801
ADALTO DAS DORES LIMA,DEPUTADO FEDERAL,113,730
ADAO DIVINO DO NASCIMENTO,DEPUTADO FEDERAL,196,1535
ADAUTO VIANA JUNIOR,DEPUTADO FEDERAL,554,15665
ADEILDO REIS DOS SANTOS,DEPUTADO ESTADUAL,77,830
ADELIA DE JESUS SOARES,DEPUTADO FEDERAL,80,629
ADELIA OLIVEIRA DE FARIAS,DEPUTADO ESTADUAL,392,9120
ADELSON FONSECA BEZERRA,DEPUTADO FEDERAL,401,17468
ADEMAR ALVES DE CARVALHO,DEPUTADO ESTADUAL,66,2380
ADEMAR BUENO DA SILVA JÚNIOR,DEPUTADO ESTADUAL,239,5031
ADEMILSON MIGUEL FERNANDES,DEPUTADO ESTADUAL,178,2929
ADEMIR DA GUIA,DEPUTADO ESTADUAL,448,13415
ADEMIR DA PENHA CLEMENTE,DEPUTADO ESTADUAL,111,1325
ADEMIR GONCALVES DE OLIVEIRA,DEPUTADO FEDERAL,188,1699
ADEMIR JOSE DA SILVA,DEPUTADO FEDERAL,213,1811
ADENILSON APARECIDO BARBOSA,DEPUTADO ESTADUAL,156,4092
ADENILSON GUERRA,DEPUTADO FEDERAL,89,810
ADENILTON FERREIRA DA SILVA,DEPUTADO FEDERAL,170,4814
ADERITO CÁSSIO DE ASSIS DUTRA,DEPUTADO FEDERAL,187,1546
ADEZIO DIAS BARBOZA,DEPUTADO FEDERAL,62,578
ADIENE CRISTINA SCAREL BRENGA,DEPUTADO ESTADUAL,215,2952
ADILSON ALVES DE OLIVEIRA,DEPUTADO ESTADUAL,34,777
ADILSON BARROSO OLIVEIRA,DEPUTADO FEDERAL,583,38182
ADILSON EUGENIO DE LIMA,DEPUTADO ESTADUAL,150,5227
ADILSON LUIZ DA CRUZ,DEPUTADO ESTADUAL,67,449
ADILSON ROSSI,DEPUTADO ESTADUAL,420,29208
ADMILSON LUCIO OLIVEIRA,DEPUTADO FEDERAL,342,11949
ADMIR DONIZETI FERRO,DEPUTADO ESTADUAL,149,7571
ADMIR GERVASIO MOREIRA,DEPUTADO FEDERAL,111,1007
ADNA ANA SIQUEIRA TEIXEIRA,DEPUTADO ESTADUAL,128,1227
ADOLFO QUINTAS GONÇALVES NETO,DEPUTADO ESTADUAL,163,9811
ADOLFO RAPHAEL SILVA MARIANO DE OLIVEIRA,DEPUTADO FEDERAL,248,3360
ADOLPH SCKICKELGRUBER RODRIGUES DE ALMEIDA,DEPUTADO ESTADUAL,48,243
ADRIANA ALVES DE OLIVEIRA,DEPUTADO ESTADUAL,132,1501
ADRIANA ARAUJO BARGAS,DEPUTADO FEDERAL,280,2898
ADRIANA CARDOSO AZEVEDO PERMINIO,DEPUTADO ESTADUAL,150,1125
ADRIANA CARDOSO DE SA,DEPUTADO ESTADUAL,55,190
ADRIANA COELHO DE OLIVEIRA,DEPUTADO ESTADUAL,96,835
ADRIANA GUEDES MACHADO,DEPUTADO FEDERAL,120,958
ADRIANA LUCIA BARRETO,DEPUTADO ESTADUAL,54,171
ADRIANA MIGUEL VENTURA,DEPUTADO FEDERAL,495,56847
ADRIANA PAULA HORTENCIANO,DEPUTADO ESTADUAL,72,403
ADRIANA PIERIN,DEPUTADO ESTADUAL,359,10983
ADRIANA RAMOS AFONSO EL RIFAI,DEPUTADO ESTADUAL,241,9352
ADRIANA SANCHES GALDEANO BORGO,DEPUTADO ESTADUAL,572,36849
ADRIANA SIMÕES DE ARAUJO,DEPUTADO FEDERAL,142,973
ADRIANA SOUZA DOS SANTOS PEREIRA,DEPUTADO ESTADUAL,51,255
ADRIANA VASCONCELLOS VIEIRA,DEPUTADO FEDERAL,399,17528
ADRIANO CAMARGO ANTONIO,DEPUTADO ESTADUAL,118,3327
ADRIANO DA COSTA E SILVA,GOVERNADOR,645,662786
ADRIANO DA SILVA NEIVA,DEPUTADO FEDERAL,122,942
ADRIANO DIOGO,DEPUTADO ESTADUAL,420,32089
ADRIANO DOS ANJOS MAÇAIRA,DEPUTADO FEDERAL,94,1166
ADRIANO DOS SANTOS,DEPUTADO FEDERAL,127,5443
ADRIANO ELI CORRÊA,DEPUTADO FEDERAL,430,80997
ADRIANO JOSÉ DOS REIS,DEPUTADO ESTADUAL,50,167
ADRIANO MARINHO DE OLIVEIRA,DEPUTADO FEDERAL,207,1783
ADRIANO PEREIRA DE OLIVEIRA,DEPUTADO FEDERAL,71,368
ADRIANO SANTOS PEREIRA,DEPUTADO FEDERAL,32,576
ADRIELE DOS SANTOS NASCIMENTO COSTA,DEPUTADO ESTADUAL,284,4042
ADÃO TIMÓTEO DE LIMA,DEPUTADO ESTADUAL,173,2820
ADÉRMIS MARINI JUNIOR,DEPUTADO FEDERAL,313,35020
AFFONSO SALATI FILHO,DEPUTADO FEDERAL,86,2299
AFONSO TIMOTEO DE SOUZA,DEPUTADO FEDERAL,48,217
AGAMENON ALVES DA SILVA,DEPUTADO ESTADUAL,189,2337
AGEU DA CRUZ ALMEIDA,DEPUTADO ESTADUAL,241,6253
AGLIBERTO DO SOCORRO CHAGAS,DEPUTADO FEDERAL,329,21204
AGNALDO ALVES PEREIRA,DEPUTADO ESTADUAL,29,142
AGNELO DA SILVA MATOS NETO,DEPUTADO ESTADUAL,194,2888
AGRIPINO PEREIRA DE SENA,DEPUTADO FEDERAL,89,832
AGUINALDO TRIUMPHO AVELLAR,DEPUTADO FEDERAL,235,1921
AGUSTIN FRANCISCO CARBALLO,DEPUTADO ESTADUAL,323,3952
AIDAN ANTONIO RAVIN,DEPUTADO ESTADUAL,143,18868
AILDO RODRIGUES FERREIRA,DEPUTADO ESTADUAL,243,12878
AILTON AMARAL DOS SANTOS,DEPUTADO FEDERAL,179,1689
AILTON APARECIDO TIPÓ LAURINDO,DEPUTADO ESTADUAL,191,23669
AILTON FRANCISCO CABRAL,DEPUTADO ESTADUAL,145,2256
AILTON JOSE DA SILVA,DEPUTADO ESTADUAL,58,310
AILTON JOSÉ DE LIMA,DEPUTADO FEDERAL,261,35843
AILTON JOSÉ DOS SANTOS,DEPUTADO ESTADUAL,203,4411
AIRES RIBEIRO,DEPUTADO FEDERAL,436,11791
AIRTON DA COSTA,DEPUTADO ESTADUAL,78,1558
AIRTON SANTOS LOPES,DEPUTADO FEDERAL,81,2042
ALAINY PRYSCILLA OLIVEIRA DA SILVA,DEPUTADO ESTADUAL,11,48
ALAN BEZERRA GOMES,DEPUTADO ESTADUAL,62,2207
ALAN SOUSA BOMFIM,DEPUTADO FEDERAL,345,6777
ALBENISIA SOUZA NASCIMENTO,DEPUTADO FEDERAL,19,118
ALBERTO ALVES COUTINHO,DEPUTADO FEDERAL,95,1162
ALBERTO CORUNHA TAVARES,DEPUTADO ESTADUAL,83,906
ALBERTO DE SOUZA GOMES,DEPUTADO ESTADUAL,69,555
ALCIDES AMAZONAS ARAUJO DOS SANTOS,DEPUTADO ESTADUAL,118,4082
ALCIDES BELUCI NETO,DEPUTADO FEDERAL,169,6681
ALDO JOSIAS DOS SANTOS,DEPUTADO FEDERAL,146,2929
ALDOMIRO FERNANDES,DEPUTADO FEDERAL,67,327
ALEIXO ANDRE MANOEL NETO,DEPUTADO ESTADUAL,206,2184
ALEKSANDRA CARVALHO DA MOTTA,DEPUTADO FEDERAL,44,548
ALENCAR SANTANA BRAGA,DEPUTADO FEDERAL,358,59350
ALESSANDRA APARECIDA MONTEIRO,DEPUTADO ESTADUAL,364,21932
ALESSANDRA DA SILVA SANTOS,DEPUTADO FEDERAL,128,1040
ALESSANDRA DE ASSIS BERRIEL,DEPUTADO ESTADUAL,120,1152
ALESSANDRA MARTINS GONÇALVES,DEPUTADO ESTADUAL,181,1456
ALESSANDRA MATOS,DEPUTADO ESTADUAL,87,553
ALESSANDRA REGINA BEGALLI ZAMORA,DEPUTADO ESTADUAL,372,8885
ALESSANDRA RUDOLPHO STRINGHETA BARBOSA,DEPUTADO ESTADUAL,256,7423
ALESSANDRA TRINDADE SHIMOMOTO,DEPUTADO ESTADUAL,348,4791
ALESSANDRA VICENTE SILVERIO,DEPUTADO ESTADUAL,139,1384
ALESSANDRANGELO LONDINO FRONTERA,DEPUTADO FEDERAL,42,336
ALESSANDRO AMORIM DE OLIVEIRA,DEPUTADO ESTADUAL,25,120
ALESSANDRO AUREO RAFALDINI OLIVEIRA,DEPUTADO ESTADUAL,53,334
ALESSANDRO CEZAR ARAUJO AZEVEDO,DEPUTADO ESTADUAL,422,6940
ALESSANDRO LEITE CAGE,DEPUTADO ESTADUAL,30,1291
ALESSANDRO MOGLIA ,DEPUTADO ESTADUAL,36,138
ALESSANDRO PEREIRA DOS SANTOS,DEPUTADO ESTADUAL,97,974
ALESSANDRO RIOS CONFORTI,DEPUTADO ESTADUAL,113,3724
ALESSANDRO RUIZ MARTINEZ,DEPUTADO ESTADUAL,156,13775
ALEX BATISTA ROCHA,DEPUTADO ESTADUAL,96,583
ALEX DE CARVALHO RODRIGUES,DEPUTADO FEDERAL,105,728
ALEX DEIVE LOPES SOARES,DEPUTADO ESTADUAL,70,877
ALEX DOUGLAS DOS SANTOS,DEPUTADO FEDERAL,177,1701
ALEX FERNANDO BRAGA,DEPUTADO FEDERAL,199,4539
ALEX OLIVEIRA DA SILVA,DEPUTADO FEDERAL,125,976
ALEX PAULO,DEPUTADO ESTADUAL,48,1056
ALEX SANDRO GOMES,DEPUTADO ESTADUAL,399,10976
ALEX SPINELLI MANENTE,DEPUTADO FEDERAL,442,112850
ALEXANDER MUNIZ DE OLIVEIRA,DEPUTADO ESTADUAL,574,104931
ALEXANDRE ALVES DA ROCHA,DEPUTADO ESTADUAL,48,757
ALEXANDRE ALVES TENORIO DOS SANTOS,DEPUTADO FEDERAL,89,623
ALEXANDRE ANNIBALDI,DEPUTADO FEDERAL,68,381
ALEXANDRE ARAUJO DAUAGE,DEPUTADO FEDERAL,260,9768
ALEXANDRE AUGUSTO FERREIRA,DEPUTADO FEDERAL,143,11248
ALEXANDRE BREVIGLIERI ALVES CASTILHO,DEPUTADO ESTADUAL,221,6262
ALEXANDRE DE OLIVEIRA,DEPUTADO FEDERAL,131,2075
ALEXANDRE DE SOUZA COMITRE,DEPUTADO FEDERAL,79,342
ALEXANDRE DONIZETE TEODORO,DEPUTADO FEDERAL,279,4291
ALEXANDRE EURÍPEDES DOS SANTOS,DEPUTADO ESTADUAL,91,916
ALEXANDRE FERREIRA DE SOUSA,DEPUTADO ESTADUAL,68,1386
ALEXANDRE FROTA DE ANDRADE,DEPUTADO FEDERAL,637,136097
ALEXANDRE GLUSKOSKI VENEGAS,DEPUTADO FEDERAL,98,759
ALEXANDRE GODINHO BERTONCELLO,DEPUTADO ESTADUAL,323,8648
ALEXANDRE HENRIQUE ISAIAS,DEPUTADO FEDERAL,39,733
ALEXANDRE LEITE DA SILVA,DEPUTADO FEDERAL,500,101036
ALEXANDRE MACHADO,DEPUTADO FEDERAL,234,4952
ALEXANDRE MARTINS RICCI,DEPUTADO ESTADUAL,60,952
ALEXANDRE MIGUEL COSTA,DEPUTADO ESTADUAL,34,259
ALEXANDRE MILANESE CAMILLO,DEPUTADO ESTADUAL,346,18630
ALEXANDRE MILANI DAS CHAGAS,DEPUTADO FEDERAL,66,1062
ALEXANDRE MORAES DE ALVARENGA RANGEL,DEPUTADO FEDERAL,113,2548
